capture_utc,maj_source,maj_complete,retard_min,octets,octets_compresses,empreinte,fichier
2026-08-19T17:16:18Z,2026-08-19 11:45,2026-08-19 11:45,91,233472,18754,d9fff821da80,indexsante_2026-08-19_1145.html.gz
2026-08-19T17:59:47Z,2026-08-19 13:45,2026-08-19 13:45,14,233476,18797,3a0fe215ac70,indexsante_2026-08-19_1345.html.gz
2026-08-19T19:11:11Z,2026-08-19 14:45,2026-08-19 14:45,26,233479,18780,873c3aadfc4e,indexsante_2026-08-19_1445.html.gz
2026-08-19T19:59:53Z,2026-08-19 15:45,2026-08-19 15:45,14,233461,18764,64fb48ecaa11,indexsante_2026-08-19_1545.html.gz
2026-08-19T22:51:56Z,2026-08-19 18:45,2026-08-19 18:45,6,233452,18799,b99f6e947916,indexsante_2026-08-19_1845.html.gz
2026-08-20T00:01:31Z,2026-08-19 19:45,2026-08-19 19:45,16,233333,18730,756c7df3093f,indexsante_2026-08-19_1945.html.gz
2026-08-20T02:38:01Z,2026-08-19 21:45,2026-08-19 21:45,53,233421,18803,22ab4a666b97,indexsante_2026-08-19_2145.html.gz
2026-08-20T04:08:05Z,2026-08-19 23:45,2026-08-19 23:45,23,236228,18824,f0dcdb006211,indexsante_2026-08-19_2345.html.gz
2026-08-20T05:59:10Z,2026-08-20 01:45,2026-08-20 01:45,14,236211,18762,8d8f3b04db22,indexsante_2026-08-20_0145.html.gz
2026-08-20T08:06:16Z,2026-08-20 03:45,2026-08-20 03:45,21,236202,18722,2ac684470b6a,indexsante_2026-08-20_0345.html.gz
2026-08-20T11:07:53Z,2026-08-20 06:45,2026-08-20 06:45,22,236203,18675,357f95fe7b1e,indexsante_2026-08-20_0645.html.gz
2026-08-20T12:02:55Z,2026-08-20 07:45,2026-08-20 07:45,17,236208,18716,b571fde7419c,indexsante_2026-08-20_0745.html.gz
2026-08-20T13:03:46Z,2026-08-20 08:45,2026-08-20 08:45,18,236216,18748,3cdd7f950c42,indexsante_2026-08-20_0845.html.gz
2026-08-20T13:52:50Z,2026-08-20 09:45,2026-08-20 09:45,7,236235,18801,f41ea31e5b2a,indexsante_2026-08-20_0945.html.gz
2026-08-20T15:16:28Z,2026-08-20 10:45,2026-08-20 10:45,31,236249,18790,41015d639a47,indexsante_2026-08-20_1045.html.gz
2026-08-20T16:51:45Z,2026-08-20 12:45,2026-08-20 12:45,6,236274,18829,295d469132d6,indexsante_2026-08-20_1245.html.gz
2026-08-20T17:56:44Z,2026-08-20 13:45,2026-08-20 13:45,11,236280,18848,e812934353b9,indexsante_2026-08-20_1345.html.gz
2026-08-20T19:19:06Z,2026-08-20 14:45,2026-08-20 14:45,34,236301,18832,18b471588d3d,indexsante_2026-08-20_1445.html.gz
2026-08-20T20:10:32Z,2026-08-20 15:45,2026-08-20 15:45,25,236284,18866,bddb9996290f,indexsante_2026-08-20_1545.html.gz
2026-08-20T21:11:21Z,2026-08-20 16:45,2026-08-20 16:45,26,236280,18835,03c5ed724a1d,indexsante_2026-08-20_1645.html.gz
2026-08-20T22:02:02Z,2026-08-20 17:45,2026-08-20 17:45,17,236270,18802,fc9a3577e6ca,indexsante_2026-08-20_1745.html.gz
2026-08-20T22:57:37Z,2026-08-20 18:45,2026-08-20 18:45,12,236263,18827,0061d9fff0ca,indexsante_2026-08-20_1845.html.gz
2026-08-20T23:51:15Z,2026-08-20 19:45,2026-08-20 19:45,6,236257,18789,0530b70a0f5e,indexsante_2026-08-20_1945.html.gz
2026-08-21T01:20:48Z,2026-08-20 20:45,2026-08-20 20:45,35,236264,18789,e54de736fd4f,indexsante_2026-08-20_2045.html.gz
2026-08-21T02:45:06Z,2026-08-20 21:45,2026-08-20 21:45,60,236268,18778,d9897615aa85,indexsante_2026-08-20_2145.html.gz
2026-08-21T03:36:25Z,2026-08-20 22:45,2026-08-20 22:45,51,236266,18778,8581d84d96e0,indexsante_2026-08-20_2245.html.gz
